uuid,username,password,score,team_uuid,team_role
e7f562c8-4793-40a7-8b1b-e3969b7e1303,tight,,83347,50a28ff7-a916-43e4-a445-3e836b4dec34,OWNER
d4686b6f-265c-4ad5-b98e-51a8e2193384,biking,,32767,aaa0d52a-e87b-42c3-9a2d-8b0e2ae25fd6,OWNER
bf959c12-ef5c-4906-bc53-ef635fdb48a7,claim,,31655,b9f16cc8-1f59-409a-8955-969c074ff64c,OWNER
26fbbfaa-6cf6-4063-bacf-2019294f2d10,stead,,63463,5bc99554-4277-4483-b293-00d30fcebd67,OWNER
6b422848-9a6f-41c9-84a9-0d3022a71345,held,,14622,8cbdabe3-bc1f-4c5b-859e-532e2474ccb6,OWNER
a484b7d4-963b-43db-968c-71a2c1356711,tiresome,,7110,47cf6500-b598-4535-881a-29cd1a293a8b,OWNER
60fef9fe-713c-4f38-82ab-b550ab7a4e8b,various,,8413,ab310432-a8e1-4bc5-b0fb-aae09195bed1,OWNER
858858c7-2fcd-4957-a8c9-31b6c00d1f37,bloomers,,44337,4a63f426-dd3a-4439-a21d-973b46806ac3,OWNER
6ec1ba1f-6b74-4715-a0ff-db2dbf9bb745,wallabyies,,30443,f07bd9c5-07fa-4319-aec0-8afd8a083185,OWNER
65c88126-fe24-4540-923e-8d5761bebc4b,recording,,16510,019eb1bb-2212-4e46-96ce-a36547b711b4,OWNER
1317365c-b908-4f4e-92ee-5452b835c090,supportive,,22645,50a28ff7-a916-43e4-a445-3e836b4dec34,MEMBER
aa4b6e9d-46b9-4d4a-9ba1-040db9a4c9f5,abuse,,84746,aaa0d52a-e87b-42c3-9a2d-8b0e2ae25fd6,MEMBER
92051d2e-185d-4a7a-9240-325977dddb34,sell,,84199,b9f16cc8-1f59-409a-8955-969c074ff64c,MEMBER
8759e152-fdbb-4b92-a51b-89dfa331411e,repel,,83357,5bc99554-4277-4483-b293-00d30fcebd67,MEMBER
c65a22d2-707c-471c-9f11-3a35d7b486ed,crocodile,,94848,8cbdabe3-bc1f-4c5b-859e-532e2474ccb6,MEMBER
b4f91f32-4245-45ce-a7cd-348eb4fa22d9,squawk,,56258,47cf6500-b598-4535-881a-29cd1a293a8b,MEMBER
e5fde6cd-ffe1-4b4f-82ed-f4deb0a09a33,scolding,,29073,ab310432-a8e1-4bc5-b0fb-aae09195bed1,MEMBER
53587d56-81e5-461b-95e7-24111d877ed4,join,,346,4a63f426-dd3a-4439-a21d-973b46806ac3,MEMBER
416f876a-b63d-4dc8-90c0-642a19d3f339,work,,5104,f07bd9c5-07fa-4319-aec0-8afd8a083185,MEMBER
f613ed00-f8c1-4aba-9d43-405b051fa927,kind,,60172,019eb1bb-2212-4e46-96ce-a36547b711b4,MEMBER
939da597-f37d-4b51-b77b-a7562cc7cd05,hiccup,,5641,50a28ff7-a916-43e4-a445-3e836b4dec34,MEMBER
1a82fe15-7713-46c4-a1aa-6ef585dcea28,relevant,,8082,aaa0d52a-e87b-42c3-9a2d-8b0e2ae25fd6,MEMBER
83d4e8fe-f8d3-4dd2-b651-a25dffc5d849,divorce,,88492,b9f16cc8-1f59-409a-8955-969c074ff64c,MEMBER
42ebb409-185f-4ac6-93f7-4da5979aa5d7,expert,,19693,5bc99554-4277-4483-b293-00d30fcebd67,MEMBER
2e1c1e62-a5fe-4c5f-b6c2-9193015f081f,unhappy,,78194,8cbdabe3-bc1f-4c5b-859e-532e2474ccb6,MEMBER
326ddc43-6b40-4445-a45c-698d7fbf1119,taffrail,,73989,47cf6500-b598-4535-881a-29cd1a293a8b,MEMBER
8e8912de-06fc-403d-918d-52e74ccbccf2,ore,,30433,ab310432-a8e1-4bc5-b0fb-aae09195bed1,MEMBER
4f66a035-bd89-4c82-86d2-3f005106d4e9,boyfriend,,25570,4a63f426-dd3a-4439-a21d-973b46806ac3,MEMBER
0c0f092f-481b-44dc-abd2-6ac6cc616bd7,born,,40576,f07bd9c5-07fa-4319-aec0-8afd8a083185,MEMBER
34d00844-53e9-42cf-935c-f317d61b70b3,downright,,33899,019eb1bb-2212-4e46-96ce-a36547b711b4,MEMBER
aa4ef50b-e6d2-4b53-9ae6-1bc6ec32d2be,tok,,13855,50a28ff7-a916-43e4-a445-3e836b4dec34,MEMBER
295a5149-10bc-4cbb-9db0-f81fa4d9f90e,hub,,51292,aaa0d52a-e87b-42c3-9a2d-8b0e2ae25fd6,MEMBER
810e3d72-3d21-489b-8328-e470c252cde3,slime,,84775,b9f16cc8-1f59-409a-8955-969c074ff64c,MEMBER
60c5ec41-ef7a-4d15-b7f3-75e1c703ff1a,merely,,62311,5bc99554-4277-4483-b293-00d30fcebd67,MEMBER
30707f89-3f2d-4aab-828b-165b12d39d68,marten,,64469,8cbdabe3-bc1f-4c5b-859e-532e2474ccb6,MEMBER
e2c95a02-a107-4f3b-b8d4-50dd5163f3fe,peevish,,85670,47cf6500-b598-4535-881a-29cd1a293a8b,MEMBER
d74a5f38-c89a-417c-bf1d-c4ac59f31419,volcanic,,80583,ab310432-a8e1-4bc5-b0fb-aae09195bed1,MEMBER
d968b044-2425-4463-8ba0-bfa3c85cb0da,landscape,,56336,4a63f426-dd3a-4439-a21d-973b46806ac3,MEMBER
966771e9-af08-4f46-a306-a5ef6fbf7a1b,ricotta,,92597,f07bd9c5-07fa-4319-aec0-8afd8a083185,MEMBER
8514b621-bb9b-4f4a-8703-eae962b8cc2a,seahorse,,21550,019eb1bb-2212-4e46-96ce-a36547b711b4,MEMBER
c55a74ba-6212-4509-ad91-c0e28c6833a6,enthralled,,88996,50a28ff7-a916-43e4-a445-3e836b4dec34,MEMBER
c0c9496b-4b88-4c14-a125-120b04544d92,boules,,24987,aaa0d52a-e87b-42c3-9a2d-8b0e2ae25fd6,MEMBER
3d242590-fbb6-4dc6-91fc-1b4a2eb0c150,likely,,82090,b9f16cc8-1f59-409a-8955-969c074ff64c,MEMBER
32d3436c-a9cd-491f-9c70-2155f7d6df54,missile,,75835,5bc99554-4277-4483-b293-00d30fcebd67,MEMBER
caae0d1e-b380-48ba-9fed-aa6d5e45c558,suddenly,,10472,8cbdabe3-bc1f-4c5b-859e-532e2474ccb6,MEMBER
72ac4bf5-2ccd-472f-a592-fbd272f4aeb3,labored,,39941,47cf6500-b598-4535-881a-29cd1a293a8b,MEMBER
1eb022b9-464c-4be8-a99f-401a870d4e88,irritated,,67849,ab310432-a8e1-4bc5-b0fb-aae09195bed1,MEMBER
de8fa975-7bec-4c6b-9c33-d56f6205e9c2,chic,,10886,4a63f426-dd3a-4439-a21d-973b46806ac3,MEMBER
a1e900d0-c3b1-4ba2-bc80-1530cb689fb0,dutiful,,54118,f07bd9c5-07fa-4319-aec0-8afd8a083185,MEMBER
28f5e160-5a2a-422d-83fb-d1f8946e006f,passel,,62852,019eb1bb-2212-4e46-96ce-a36547b711b4,MEMBER
79914fae-2c70-4939-94a8-0045edb122e2,etc,,94451,50a28ff7-a916-43e4-a445-3e836b4dec34,MEMBER
146051c6-79b5-44fa-b90f-b40d290e61d3,peppercorn,,60542,aaa0d52a-e87b-42c3-9a2d-8b0e2ae25fd6,MEMBER
3b69b2c9-ac71-4553-844d-6865578b312e,thunderous,,94953,b9f16cc8-1f59-409a-8955-969c074ff64c,MEMBER
56e42fe5-acce-4b7b-89cb-21ac18e8e42b,astonished,,4782,5bc99554-4277-4483-b293-00d30fcebd67,MEMBER
